IATA,ICAO,Airline,Call sign,Country/Region,Comments
,VSG,AirClass Airways,VISIG,Spain,formerly Visig Operaciones Aéreas
,BKL,Aircompany Barcol,BARCOL,Russia,
,CHJ,Aircompany Chaika,AIR CHAIKA,Ukraine,
,GRX,Aircompany Grodno,GRODNO,Belarus,
,URA,Aircompany Rosavia,ROSAVIA,Ukraine,
,RVT,Aircompany Veteran,AIR-VET,Armenia,
R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia,
,AMQ,Aircraft Management and Consulting,AMEX,Poland,
,XLB,Aircraft Performance Group,,United States,
,ACS,Aircraft Sales and Services,AIRCRAFT SALES,Pakistan,
,NFF,Aircraft Support and Services,,Lebanon,ICAO code no longer allocated
,AIY,Aircrew Check and Training Australia,AIRCREW,Australia,
,AIX,Aircruising Australia,CRUISER,Australia,
,ADU,Airdeal Oy,AIRDEAL,Finland,
HD,ADO,AIRDO,AIR DO,Japan,
4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia,renamed to LAN Colombia
,AIT,Airest,,Estonia,
ED,AXE,AirExplore,GALILEO,Slovakia,
,AFE,Airfast Indonesia,AIRFAST,Indonesia,
,FIX,Airfix Aviation,AIRFIX,Finland,
5Z,AFX,Airfreight Express,,United Kingdom,Ceased operations 08/03/2002
,MBC,Airjet Exploracao Aerea de Carga,MABECO,Angola,
,XAK,Airkenya,SUNEXPRESS,Kenya,
1K,n/a,AIRKIOSK,n/a,Global,Local distribution system (CRS) and PSS
,ARL,Airlec - Air Aquitaine Transport,AIRLEC,France,
,GSP,Airlift Alaska,GREEN SPEED,United States,
,AIR,Airlift International,AIRLIFT,United States,defunct
A5,RLA,Airlinair,AIRLINAIR,France,
,OST,Airline Alania,ALANIA,Russia,
,XAO,Airline Operations Services,,United States,
,CDV,Airline Skol,SKOL,Russia,
,VAZ,Airlines 400,REMONT AIR,Russia,
FO,ATM,Airlines of Tasmania,AIRTAS,Australia,
CG,TOK,Airlines PNG,BALUS,Papua New Guinea,
,JAR,Airlink,AIRLINK,Austria,
4Z,LNK,Airlink,LINK,South Africa,
,HYR,Airlink Airways,HIGHFLYER,Ireland,
,LKS,Airlink Solutions,AIRLIN,Spain,
K8,ZAK,Airlink Zambia,,Zambia,Zambia Skyways Limited
,AYM,"Airman, S.L.",AIRMAN,Spain,
,THM,Airmark Aviation,THAI AIRMARK,Thailand,
,TRH,Airmark Aviation,TRANSTAR,United States,
,MMX,Airmax,PERUMAX,Peru,
,USC,AirNet Express,STAR CHECK,United States,Renamed from US Check Airlines
TL,ANO,Airnorth,TOPEND,Australia,
,APC,"Airpac Airlines, Inc.",AIRPAC,United States,
,APM,"Airpac, Inc.",ALASKA PACIFIC,United States,
,AHH,Airplanes Holdings,AIRHOLD,Ireland,
,AHE,"Airport Helicopter Basel, Muller & Co.",AIRPORT HELICOPTER,Switzerland,
,IPL,Airpull Aviation,IPULL,Spain,
,SSN,Airquarius Air Charter,SUNSTREAM,South Africa,ICAO code no longer allocated
,AQU,AirQuarius Aviation,QUARIUS,South Africa,defunct
,ADA,Airservices Australia,AUSCAL,Australia,Flight Inspection Unit
,SHH,Airshare Holdings,AIRSHARE,United Kingdom,ICAO code no longer allocated
FF,,Airshop,,Netherlands,
,SPD,Airspeed Aviation,SPEEDLINE,Canada,ICAO code no longer allocated
,ACC,Airspeed Charter,,Jamaica,2014[1]
,ASP,Airsprint,AIRSPRINT,Canada,
,FCJ,AirSprint US,FRACJET,United States,"Previously used code ""HAB"""
PL,ASE,Airstars,MOROZOV,Russia,defunct
,ITI,AirSwift,AIRSWIFT,Philippines,
9L,TOW,AirTanker Services,TOWLINE,United Kingdom,
,TEW,Airteam Charter,TEAMWORK,South Africa,
,CPF,Airtechservice,TECHSERVICE,Ukraine,defunct
,IME,Airtime Charters,AIRTIME,United Kingdom,ICAO code no longer allocated
FL,TRS,AirTran Airways,CITRUS,United States,"defunct, last flight 12/30/2014, now part of Southwest Airlines"
,VAB,Airtrans Ltd,,Russia,
,TSQ,airtransse,AIRTRA,Japan,
,AAS,Airtransservice,Aviaservice,Russia,defunct
,RVL,Airvallee,AIR VALLEE,Italy,
,AVV,Airvantage Incorporated,AIRVANTAGE,United States,
,RVE,Airventure,AIRVENTURE,Belgium,
,AIV,Airvias S/A Linhas Aéreas,AIRVIAS,Brazil,
,AWV,"Airwave Transport, Inc.",AIRWAVE,Canada,
,WLA,Airwaves Airlink,AIRLIMITED,Zambia,
,AEX,Airway Express,AVCO,United States,ICAO code no longer allocated
,WAY,Airways,GARONNE,France,
,XFX,Airways Corporation of New Zealand,AIRCORP,New Zealand,
,DRM,Airways Flight Training,DARTMOOR,United Kingdom,
,AWB,"Airways International, Inc.",AIRNAT,United States,
,AWZ,AirWest,,Sudan,
,NWG,Airwing,NORWING,Norway,
,WGS,Airwings oy,AIRWINGS,Finland,
,AWK,Airwork,AIRWORK,New Zealand,
,SPZ,Airworld,SPEED SERVICE,South Africa,
,PNX,AIS Airlines,SPINNER,Netherlands,
,AJY,AJet,AYJET,Cyprus,"defunct, ICAO code no longer allocated"
,AKZ,AK Navigator LLC,ABSOLUTE,Kazakhstan,ICAO code no longer allocated
QP,AKJ,Akasa Air,AKASA AIR,India,
,AKH,Akhal,AKHAL,Turkmenistan,
,AKK,Aklak Air,AKLAK,Canada,
,AKB,Aktjubavia,KARAB,Kazakhstan,
,LHR,Al Ahram Aviation,AL AHRAM,Egypt,
,PHR,Al Farana Airline,PHARAOH,Egypt,
,HJT,Al Rais Cargo,AL-RAIS CARGO,United Arab Emirates,
,LRW,Al Rida Airways,AL RIDA,Mauritania,
,LIE,Al-Dawood Air,AL-DAWOOD AIR,Nigeria,
,LDN,Al-Donas Airlines,ALDONAS AIR,Nigeria,
,RAD,Alada,AIR ALADA,Angola,
,AYD,Aladia Airlines,AIRLINES ALADIA,Mexico,defunct
,ANH,Alajnihah for Air Transport,ALAJNIHAH,Libya,
,LML,Alamia Air,ALAMIA AIR,Libya,ICAO code no longer allocated
,AVD,"Álamo Aviación, S.L.",ALAMO,Spain,
,AMH,Alan Mann Helicopters Ltd.,MANN,United Kingdom,ICAO code no longer allocated
,ALW,"Alas Nacionales, S.A.",ALNACIONAL,Dominican Republic,
AS,ASA,"Alaska Airlines, Inc.",ALASKA,United States,
KO,AER,Alaska Central Express,ACE AIR,United States,
,AAK,Alaska Island Air,ALASKA ISLAND,United States,
,BMV,Alatau Airlines,OLIGA,Kazakhstan,
,AFQ,Alba Servizi Aerotrasporti,ALBA,Italy,
LV,LBC,Albanian Airlines,ALBANIAN,Albania,
F4,NBK,Albarka Air,AL-AIR,Nigeria,
AP,LAV,AlbaStar,ALBASTAR,Spain,
,LBW,Albatros Airways,ALBANWAYS,Albania,
2B,AWT,Albawings,ALBAWINGS,Albania,
,BNI,Alberni Airways,ALBERNI,Canada,
,ABK,Alberta Citylink,ALBERTA CITYLINK,Canada,"defunct, ICAO code no longer allocated"
,GOA,Alberta Government,ALBERTA,Canada,
,LUC,Albinati Aeronautics,ALBINATI,Switzerland,
,ALD,Albion Aviation,ALBION,United Kingdom,
,LBI,Albisa,ALBISA,Mexico,
,AOA,"Alcon Servicios Aéreos, S.A. de C.V.",ALCON,Mexico,
,LEM,Aleem,,Egypt,
,JMR,Alexandair,ALEXANDAIR,Canada,
,AXN,Alexandair,ALEXANDROS,Greece,defunct
,KHH,Alexandria Airlines,,Egypt,
,FCU,Alfa 4,,Mexico,
,LFP,Alfa Aerospace,ALFA-SPACE,Australia,
,AFA,Alfa Air,BLUE ALFA,Czech Republic,
,AAJ,Alfa Airlines,ALFA SUDAN,Sudan,
,AGG,Algoma Airways,ALGOMA,Canada,ICAO code no longer allocated
,FSY,Algonquin Airlink,FROSTY,Canada,2014[1]
,AIU,Alicante Internacional Airlines,ALIA,Spain,
D4,LID,Alidaunia,ALIDA,Italy,
,PAJ,Aliparma,ALIPARMA,Italy,
AZ,AZA,Alitalia,ALITALIA,Italy,defunct
,SMX,Alitalia Express,ALIEXPRESS,Italy,
,LVN,Aliven,ALIVEN,Italy,
,AKN,Alkan Air,ALKAN AIR,Canada,
,BLA,All Charter Limited,ALL CHARTER,United Kingdom,ICAO code no longer allocated
NH,ANA,All Nippon Airways,ALL NIPPON,Japan,
,ASR,"All Star Airlines, Inc.",ALL STAR,United States,
,CNX,AllCanada Express,CANEX,Canada,defunct
,ALO,Allegheny Commuter Airlines,ALLEGHENY,United States,US Airways Express
G4,AAY,Allegiant Air,ALLEGIANT,United States,
LL,GRO,Allegro,ALLEGRO,Mexico,defunct (IATA code reallocated)
Y2,AFJ,Alliance Air,JAMBO,Uganda,Ceased operations 08/10/2000
,TTX,Alliance Air Charters,TWISTER,United States,
QQ,UTY,Alliance Airlines,UNITY,Australia,
,KVR,Alliance Avia,KAVAIR,Kazakhstan,
,RWB,Alliance Express Rwanda,,Rwanda,
,AJK,Allied Air,BAMBI,Nigeria,
SM,AAW,Allied Airways,,United Kingdom,defunct
,ALF,Allied Command Europe (Mobile Force),ACEFORCE,Belgium,
,ALP,Allpoints Jet,ALLPOINTS,China,
UJ,LMU,AlMasria Universal Airlines,ALMASRIA,Egypt,
,LMT,Almaty Aviation,ALMATY,Kazakhstan,
,VER,Almaver,ALMAVER,Mexico,
,AAW,Almeta Air,ALMETA AIR,Austria,defunct
,HPO,Almiron Aviation,ALMIRON,Uganda,
KH,AAH,Aloha Air Cargo,ALOHA,United States,
AQ,AAH,Aloha Airlines,ALOHA,United States,defunct; former IATA code: TS
,LOK,Alok Air,ALOK AIR,Sudan,
,APH,"Alpha Aviation, Inc.",AIRFLIGHT,United States,
,AJW,Alpha Jet International,ALPHAJET,United States,
,ALN,"Alpha Jet, S.R.O.",TOLEMAC,Slovakia,2014[1]
,STT,Alpha Star Charter,STAR CHARTER,Saudi Arabia,
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy,"defunct, ICAO code no longer allocated"
5A,AIP,Alpine Air Express,ALPINE AIR,United States,
,APN,Alpine Airlines,AIR ALPES,France,
,LPC,Alpine Aviation,NETSTAR,South Africa,
,ALP,Alpliner AG,ALPINER,Switzerland,Code now allocated to another user
6R,DRU,Alrosa Air Company,MIRNY,Russia,
,LRO,Alrosa-Avia,ALROSA,Russia,
,LSR,Alsair,ALSAIR,France,
,SQR,Alsaqer Aviation,ALSAQER AVIATION,Libya,ICAO code no longer allocated
,ALZ,Alta Flights (Charters) Ltd.,,Canada,
,AGH,Altagna,ALTAGNA,France,
,ALQ,Altair Aviation (1986),ALTAIR,Canada,
,GTC,Altin Havayolu Tasimaciligi Turizm Ve Ticaret,GOLDEN WINGS,Turkey,
,AXS,Altus Airlines,ALTUS,United States,
,AQO,Aluminum Company Of America,ALCOA SHUTTLE,United States,Alcoa Aircraft Operations
,AAV,Aly Aviation,,United Kingdom,defunct; former ICAO code: AAY
,ALY,Alyeska Air Service,ALYESKA,United States,
1A,AGT,Amadeus IT Group,AMADEUS,Spain,
1A,n/a,Amadeus IT Group S.A.,n/a,Global,GDS and airline hosting system (CRS/PSS)
,OBK,Amako Airlines,AMAKO AIR,Nigeria,
,MLF,Amal Airlines,AMAL,Djibouti,
,APF,Amapola Flyg AB,AMAPOLA,Sweden,
ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay,
,ABT,Ambeo,AMBITION,United Kingdom,
0A,GNT,Amber Air,GINTA,Lithuania,
,JEE,Ambjek Air Services,AMBJEK AIR,Nigeria,
,MCY,Ambulance Air Africa,MERCY,South Africa,
,AMV,AMC Airlines,,Egypt,Aircraft Maintenance Company
,VAM,Ameravia,AMERAVIA,Uruguay,
,AMK,Amerer Air,AMER AIR,Austria,
,AAR,Americ Air,PATRIOT,United States,defunct
HP,AWE,America West Airlines,CACTUS,United States,Merged with US Airways
AA,AAL,American Airlines,AMERICAN,United States,
,LKP,American Aviation,LAKE POWELL,United States,ICAO code no longer allocated
MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States,"Renamed Envoy Air, ICAO Code and Callsign withdrawn in 2014"
WK,AFB,American Falcon,AMERICAN FALCON,Argentina,defunct
,XFS,American Flight Service Systems,,United States,
,FYS,American Flyers,AMERICAN FLYERS,United States,
,SCM,American Jet International,SCREAMER,United States,
AX,—,AmericanConnection[8],—,United States,
,AMF,Ameriflight,AMFLIGHT,United States,
M6,AJT,Amerijet International,AMERIJET,United States,
,AJI,Ameristar Jet Charter,AMERISTAR,United States,
,XPE,Amira Air,EXPERT,Austria,
,AMZ,Amiya Airline,AMIYA AIR,Nigeria,
,MMP,AMP Incorporated,AMP-INC,United States,
,XAM,AMR Services Corporation,ALLIANCE,United States,
,XMG,AMS Group,,Russia,
WD*,AAN,Amsterdam Airlines,AMSTEL,Netherlands,Former IATA code: FH*. ICAO code and call sign no longer allocated
2V*,,Amtrak,,United States,Train services only
,AJV,ANA & JP Express,AYJAY CARGO,Japan,merged into Air Japan
,ADX,Anderson Aviation,ANDAX,United States,
OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina,
,AGU,Angara Airlines,SARMA,Russia,
,NGE,Angel Airlines,ANGEL AIR,Thailand,"defunct, ICAO code no longer allocated"
,NGF,Angel Flight America,ANGEL FLIGHT,United States,Renamed Air Charity Network in 2014[4]
,LBZ,Angkasa Super Service,,Indonesia,
K6,KHV,Angkor Air,AIR ANGKOR,Cambodia,
,AOL,Angkor Airlines,ANGKOR AIR,Cambodia,defunct
,AKW,Angkor Airways,ANGKORWAYS,Cambodia,defunct
,ANC,Anglo Cargo,ANGLO,United Kingdom,"Defunct, ICAO code no longer allocated"
,NGV,Angoavia,ANGOAVIA,Angola,
,AGO,Angola Air Charter,ANGOLA CHARTER,Angola,
,NGC,Angoservice,ANGOSERVICE,Angola,
,AAZ,Angus Aviation,ANGUS,Canada,defunct
,AKF,Anikay Air Company,ANIKAY,Kyrgyzstan,
A2,AWG,Animawings,ANIMA WINGS,Romania,
,RZZ,Anoka Air Charter,RED ZONE,United States,
AN,AAA,Ansett Australia,ANSETT,Australia,defunct
,TIR,Antair,ANTAIR,Mexico,
,NAU,Antanik-Air,ANTANIK,Ukraine,
,ANM,"Antares Airtransport, Maintenance & Service GmbH",ANTARES,Germany,ICAO Code now allocated to another user
,ABI,Antigua and Barbuda Airways,Anair,Antigua and Barbuda,defunct
,SUN,Antillana De Navegación Aérea,,Dominican Republic,
HO,DJA,Antinea Airlines,ANTINEA,Algeria,defunct
,ADB,Antonov Airlines,ANTONOV BUREAU,Ukraine,Antonov Design Bureau
O4,ABV,Antrak Air,ANTRAK,Ghana,
IW,AOM,AOM French Airlines,French Lines,France,defunct
,APY,APA Internacional,APA INTERNACIONAL,Dominican Republic,
,LYT,Apatas Air,APATAS,Lithuania,
,APX,Apex Air Cargo,PARCEL EXPRESS,United States,
GP,RIV,APG Airlines,RIVERA,France,
,EDY,Apollo Air Service,STOBART,United Kingdom,Was VLL Limited
,POY,Apoyo Aéreo,APOYO AEREO,Mexico,
,APL,"Appalachian Flying Service, Inc.",APPALACHIAN,United States,
,ABO,APSA Colombia,AEROEXPRESO,Colombia,aka Aeroexpreso Bogota
,CNH,Aquila Air,CHENANGO,United States,
,AQL,Aquila Air Ltd.,AQUILA,Canada,
,AGC,Arab Agricultural Aviation Company,AGRICO,Egypt,
,AWS,Arab Wings,ARAB WINGS,Jordan,
,AAP,Arabasco Air Services,ARABASCO,Saudi Arabia,
,KOY,Araiavia,ALEKS,Kazakhstan,
,IRW,Aram Airline,ARAM,Iran,
,ARV,Aravco Ltd.,ARAVCO,United Kingdom,
,ABE,Arberia Airlines,ARBERIA AIRLINES,Albania,defunct
,AKC,Arca Aerovías Colombianas Ltda.,ARCA,Colombia,
,DHM,Archer Aviation,ARCHER,United Kingdom,ICAO code no longer allocated
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States,
,AWR,Arctic Wings And Rotors Ltd.,ARCTIC WINGS,Canada,
ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany,
,FAG,Argentine Air Force,FUAER,Argentina,
,RGO,Argo,ARGOS,Dominican Republic,
,ARY,Argosy Airways,GOSEY,United States,
,RTO,Arhabaev Tourism Airlines,ARTOAIR,Kazakhstan,
,ARW,Aria,ARIABIRD,France,
,IRX,Aria Tour,ARIA,Iran,
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan,
,ARA,Arik Air,ARIK AIR,Nigeria,
,AZY,"Arizona Airways, Inc.",ARIZAIR,United States,
,TMP,Arizona Express Airlines,TEMPE,United States,
,AZP,Arizona Pacific Airways,ARIZONA PACIFIC,United States,
,KEK,Arkhabay,ARKHABAY,Kazakhstan,ICAO code no longer allocated
,OAO,Arkhangelsk 2 Aviation Division,DVINA,Russia,
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel,
,RMO,Arm-Aero,ARM-AERO,Armenia,
U8,RNV,Armavia,ARMAVIA,Armenia,"defunct, ICAO code no longer allocated"
R3,RME,Armenian Airlines,ARMENIAN,Armenia,defunct
,ARQ,"Armstrong Air, Inc.",ARMSTRONG,Canada,
,AAC,Army Air Corps,ARMYAIR,United Kingdom,
,PXX,Aroostook Aviation,PINE STATE,United States,
,URP,ARP 410 Airlines,AIR-ARP,Ukraine,
,END,Arrendadora y Transportadora Aérea,ARRENDADORA,Mexico,
,JTS,Arrendamiento de Aviones Jets,AVIONESJETS,Mexico,
,ADT,Arrendaminetos y Transportes Turisticos,ARRENDA-TRANS,Mexico,
JW,APW,Arrow Air,BIG A,United States,defunct
,HEZ,Arrow Aviation,ARROW,Israel,
,ARO,Arrow Aviation Ltd.,ARROW,Canada,defunct
,RWC,Arrow Ecuador Arrowec,ARROWEC,Ecuador,
,WAP,Arrow Panama,ARROW PANAMA,Panama,
,ARH,Arrowhead Airways,ARROWHEAD,United States,
,OES,ART Aviation,ART AUSTRIA,Austria,
,ABA,Artem-Avia,ARTEM-AVIA,Ukraine,defunct
,RTH,Artis,ARTHELICO,France,
AG,ARU,Aruba Airlines,ARUBA,Aruba,
,IRD,Arvand Airlines,ARVAND,Iran,
YE,ACQ,Aryan Cargo Express,,India,
,SRY,As-Aero,,Armenia,
,AOO,"As, Opened Joint Stock Company",COMPANY AS,Ukraine,
,API,"ASA Pesada, Lda.",ASA PESADA,Angola,
,XKX,ASECNA,,France,
R7,OCA,Aserca Airlines,AROSCA,Venezuela,
,KAA,Asia Aero Survey and Consulting Engineers,AASCO,Republic of Korea,ICAO code no longer allocated
,AVT,Asia Avia Airlines,ASIAVIA,Indonesia,defunct
,CID,Asia Continental Airlines,ACID,Kazakhstan,"defunct, ICAO code no longer allocated"
OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines,
,MGE,Asia Pacific Airlines,MAGELLAN,United States,
,SPY,Asian Aerospace Service,THAI SPACE,Thailand,
KJ,AAZ,Asian Air,,Kyrgyzstan,
6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines,
OZ,AAR,Asiana Airlines,ASIANA,South Korea,
4K*,AAS,Askari Aviation,AL-ASS,Pakistan,
,XXX,ASL (Air Service Liege),,Belgium,
AG,ABR,ASL Airlines Ireland,CONTRACT,Ireland,"Former IATA Code: AG; former names: Hunting Air Cargo Airlines, Air Contractors"
,FAT,ASL Airlines Switzerland,FARNER,Switzerland,Previously: Farnair Switzerland
,APQ,Aspen Aviation,ASPEN BASE,United States,
,AHF,Aspen Helicopters,ASPEN,United States,
,XJA,Assistance Aeroportuaire de L'Aeroport de Paris,,France,
,SCD,Associated Aviation,ASSOCIATED,Nigeria,
,PVK,Association of Private Pilots of Kazakhstan,BORIS,Kazakhstan,ICAO code no longer allocated
,PKA,AST Pakistan Airways,PAKISTAN AIRWAY,Pakistan,
8D*,SUW,Astair,,Russian Federation,Name changed to Interavia Airlines
ER,DHL,Astar Air Cargo,D-H-L,United States,"defunct, DHL"
,AAE,Astec Air East,AIR EAST,United States,defunct
,AOI,"Astoria, Inc.",ASTORIA,Canada,defunct
A2,AZI,Astra Airlines,ASTRA,Greece,
5W,AEU,Astraeus,FLYSTAR,United Kingdom,"defunct, ICAO code no longer allocated"
OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia,defunct
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya,
,ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ASTRAL,Colombia,
,ASV,Astravia-Bissau Air Transports Ltd.,ASTRAVIA,Guinea-Bissau,
,AAP,Astro Air International,ASTRO AIR,Philippines,defunct
,AAV,Astro Air International,ASTRO-PHIL,United States,
,XAT,AT and T Aviation Division,,United States,
TZ,AMT,ATA Airlines,AMTRAN,United States,defunct
,ABZ,ATA Brasil,ATA-BRAZIL,Brazil,defunct
,AOF,Atair Pty Ltd.,ATAIR,South Africa,
,TXU,ATESA Aerotaxis Ecuatorianos,ATESA,Ecuador,
,ATU,Atlant Aerobatics Ltd.,ATLANT HUNGARY,Hungary,
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia,defunct
,ATB,Atlantair Ltd.,STARLITE,Canada,
,MDC,Atlantic Aero and Mid-Atlantic Freight,NIGHT SHIP,United States,
,HGH,Atlantic Air Lift,HIGHER,France,
,LFR,Atlantic Airfreight Aviation,LANFREIGHT,São Tomé and Príncipe,
,GBN,Atlantic Airlines,ATLANTIC GABON,Gabon,
EX,BJK,Atlantic Airlines,BLACKJACK,United States,
,HHA,Atlantic Airlines de Honduras,ATLANTIC HONDURAS,Honduras,defunct
,AYN,"Atlantic Airlines, S.A.",ATLANTIC NICARAGUA,Nicaragua,
RC,FLI,Atlantic Airways,FAROELINE,Faroe Islands,
,BLR,Atlantic Coast Airlines,BLUE RIDGE,United States,defunct
,PRT,Atlantic Coast Jet,PATRIOT,United States,
,AAG,Atlantic Flight Training,ATLANTIC,United Kingdom,Changed from Air Atlantique in 2014[1]
,AGF,Atlantic Gulf Airlines,ATLANTIC GULF,United States,defunct
,FAC,Atlantic Helicopters,FAROECOPTER,Denmark,
,AIW,Atlantic Island Airways,TARTAN,Canada,
,NRS,Atlantic Richfield Company,NORTH SLOPE,United States,
,RCU,Atlantic S.L.,AIR COURIER,Spain,
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States,Merged into ExpressJet Airlines
,TLB,Atlantique Air Assistance,TRIPLE-A,France,
,AAO,Atlantis Airlines (USA),ATLANTIS AIR,United States,
TD,LUR,Atlantis European Airways,,Armenia,
,ATE,"Atlantis Transportation Services, Ltd.",ATLANTIS CANADA,Canada,
5Y,GTI,Atlas Air,GIANT,United States,
,ATR,Atlas Airlines,ATLAS-AIR,United States,
,IRH,Atlas Aviation Group,ATLAS AVIA,Iran,
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,defunct
,ACY,Atlas Cargo Airlines,ATLAS CARGOLINES,Morocco,
,TDT,Atlas Helicopters,TRIDENT,United Kingdom,
,UJX,Atlas Ukraine Airlines,ATLAS UKRAINE,Ukraine,2014[1]
KK,KKK,Atlasjet,ATLASJET,Turkey,
,AMA,ATMA,ADIK,Kazakhstan,
V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation,
,ATT,Attawasol Airlines,ATTAWASOL AIR,Libya,
,UND,Atuneros Unidos de California,ATUNEROS UNIDOS,Mexico,
,TUR,ATUR,,Ecuador,
IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan,
,WPR,Auckland Regional Rescue Helicopter Trust,WESTPAC RESCUE,New Zealand,
,ADI,Audeli Air,AUDELI,Spain,
,AUD,"Audi Air, Inc.",AUDI AIR,United States,
IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany,defunct
,AUF,Augusta Air Luftfahrtunternehmen,AUGUSTA,Germany,
,ISM,Auo Airclub AIST-M,STORK,Russia,
,RBE,Aur Rum Benin,RUM BENIN,Benin,
,LSK,Aurela,AURELA,Lithuania,
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom,
,URR,Aurora Airlines,AIR AURORA,Slovenia,"defunct, ICAO code no longer allocated"
,AUU,"Aurora Aviation, Inc.",AURORA AIR,United States,ICAO code no longer allocated
NO,AUS,Aus-Air,,Australia,defunct
,AAW,Austin Airways,AUSTIN,Canada,defunct
,TXX,Austin Express,COWBOY,United States,defunct
AU,AUT,Austral Líneas Aéreas,AUSTRAL,Argentina,
,AAU,Australia Asia Airlines,AUSTASIA,Australia,Subsidiary merged into Qantas; former IATA code: IM
XM,XME,Australian airExpress,AUS-CARGO,Australia,
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia,Subsidiary merged with Qantas
,CWP,Australian Customs Service,COASTWATCH,Australia,
,RES,Australian Maritime Safety Authority,RESCUE,Australia,
,AWL,Australian Wetleasing,AUSSIEWORLD,Australia,
,ASF,Austrian Air Force,AUSTRIAN AIRFORCE,Austria,
,AAS,Austrian Air Services,AIR SERVICES,Austria,defunct
OS,AUA,Austrian Airlines,AUSTRIAN,Austria,
OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria,"defunct; former IATA code: U8, OG; former ICAO code: AUC"
,UST,Austro Aéreo,AUSTRO AEREO,Ecuador,
,UVT,Auvia Air,AUVIA,Indonesia,
,KYC,Av Atlantic,DOLPHIN,United States,
,AVK,AV8 Helicopters,AVIATE-COPTER,South Africa,
,AVH,AV8 Helicopters,KENT HELI,United Kingdom,
,MBA,Avag Air,AVAG AIR,Austria,
,VAI,Avalair,AIR AVALAIR,Serbia,
,VNR,Avantair,AVANTAIR,United States,defunct
,ATV,Avanti Air,AVANTI AIR,Germany,
,VBC,AVB-2004 Ltd,AIR VICTOR,Bulgaria,
,MZK,AVC Airlines,,Japan,
,ACC,Avcard Services,,United Kingdom,ICAO code no longer allocated
,TTE,Avcenter,TETON,United States,
J6,AOC,AVCOM,AERO AVCOM,Russia,
,AOJ,Avcon Jet,ASTERIX,Austria,
,AVP,Avcorp Registrations,AVCORP,United Kingdom,No longer used
,PHW,Ave.com,PHOENIX SHARJAH,United Arab Emirates,ICAO code no longer allocated
XP,VXP,Avelo Airlines,AVELO,United States,"Former ICAO code: CXP; former names: Casino Express Airlines, Xtra Airways"
VE,AVE,Avensa,AVENSA,Venezuela,defunct
,VRT,Averitt Air Charter,AVERITT,United States,
,VSC,AVESCA,AVESCA,Colombia,defunct
,UTX,Avfinity,,United States,
,ARB,Avia Air N.V.,AVIAIR,Aruba,
,AUP,Avia Business Group,,Russia,
,AJF,Avia Consult Flugbetriebs,AVIACONSULT,Austria,
,SAP,Avia Jaynar,TOBOL,Kazakhstan,
,AVU,Avia Sud Aérotaxi,AVIASUD,France,
,AVJ,Avia Traffic Company,ATOMIC,Kyrgyzstan,
,VTT,Avia Trans Air Transport,VIATRANSPORT,Sudan,
,VTG,Aviação Transportes Aéreos e Cargas,ATACARGO,Angola,
,VME,Aviación Comercial de América,AVIAMERICA,Mexico,
,AVP,Aviacion Corporativa de Peubla,AVIA PUEBLA,Mexico,
,ANW,"Aviación Del Noroeste, S.A. de C.V.",AVINOR,Mexico,defunct
,HID,Aviación Ejecutiva De Hildago,EJECUTIVA HIDALGO,Mexico,
,AVM,"Aviación Ejecutiva Mexicana, S.A.",AVEMEX,Mexico,
,AZS,Aviacon Zitotrans Air Company,ZITOTRANS,Russia,
6A,CHP,Aviacsa,AVIACSA,Mexico,
RX,AEH,Aviaexpress,AVEX,Hungary,defunct
,VXX,Aviaexpress Aircompany,EXPRESSAVIA,Ukraine,
,IWS,Aviainvest,,Russia,
,AVF,Aviair Aviation Ltd.,CARIBOO,Canada,
,NVI,Avial NV Aviation Company,NEW AVIAL,Russia,
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan,
,FFA,Avialesookhrana,AVIALESOOKHRANA,Russia,
,VLV,Avialift Vladivostok,VLADLIFT,Russia,
